config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
210,0.05,0.005,0.8,0.15,0.0001,0.4,80,True,0.6580,0.5947,0.6327,2.29
211,0.05,0.005,0.8,0.15,0.0001,0.4,100,False,0.5911,0.5654,0.5808,2.86
212,0.05,0.005,0.8,0.15,0.0001,0.4,100,True,0.5547,0.4985,0.5322,2.86
213,0.05,0.005,0.8,0.15,0.0001,0.5,80,False,0.5710,0.5937,0.5801,2.29
214,0.05,0.005,0.8,0.15,0.0001,0.5,80,True,0.6712,0.5762,0.6332,2.29
215,0.05,0.005,0.8,0.15,0.0001,0.5,100,False,0.6352,0.5907,0.6174,2.86
216,0.05,0.005,0.8,0.15,0.0001,0.5,100,True,0.2338,0.4568,0.3230,2.86
217,0.05,0.005,0.8,0.15,0.0001,0.6,80,False,0.5971,0.5631,0.5835,2.29
218,0.05,0.005,0.8,0.15,0.0001,0.6,80,True,0.5783,0.5992,0.5867,2.29
219,0.05,0.005,0.8,0.15,0.0001,0.6,100,False,0.4606,0.3837,0.4298,1.73
220,0.05,0.005,0.8,0.15,0.0001,0.6,100,True,0.6506,0.5545,0.6122,2.86
221,0.05,0.005,0.8,0.15,0.0001,0.7,80,False,0.4956,0.4171,0.4642,2.29
222,0.05,0.005,0.8,0.15,0.0001,0.7,80,True,0.4888,0.5043,0.4950,2.29
223,0.05,0.005,0.8,0.15,0.0001,0.7,100,False,0.6898,0.5444,0.6316,2.86
224,0.05,0.005,0.8,0.15,0.0001,0.7,100,True,0.5922,0.5196,0.5631,2.86
225,0.05,0.005,0.8,0.15,0.00012,0.4,80,False,0.5036,0.5213,0.5107,2.29
226,0.05,0.005,0.8,0.15,0.00012,0.4,80,True,0.6683,0.6036,0.6424,2.29
227,0.05,0.005,0.8,0.15,0.00012,0.4,100,False,0.6092,0.5395,0.5813,2.86
228,0.05,0.005,0.8,0.15,0.00012,0.4,100,True,0.5761,0.5492,0.5654,2.87
229,0.05,0.005,0.8,0.15,0.00012,0.5,80,False,0.6036,0.4976,0.5612,2.29
230,0.05,0.005,0.8,0.15,0.00012,0.5,80,True,0.4713,0.4335,0.4562,2.29
231,0.05,0.005,0.8,0.15,0.00012,0.5,100,False,0.5260,0.4825,0.5086,2.86
232,0.05,0.005,0.8,0.15,0.00012,0.5,100,True,0.5570,0.5805,0.5664,2.86
233,0.05,0.005,0.8,0.15,0.00012,0.6,80,False,0.5522,0.4992,0.5310,2.29
234,0.05,0.005,0.8,0.15,0.00012,0.6,80,True,0.5127,0.5249,0.5175,2.29
235,0.05,0.005,0.8,0.15,0.00012,0.6,100,False,0.4423,0.4808,0.4577,2.30
236,0.05,0.005,0.8,0.15,0.00012,0.6,100,True,0.5846,0.5833,0.5841,2.86
